English,Russian
a,а
able,способный
about,о
above,выше
accept,принимать
across,через
act,действовать
actually,фактически
add,добавлять
admit,признавать
afraid,боюсь
after,после
afternoon,после полудня
again,опять таки
against,против
age,возраст
ago,назад
agree,соглашаться
ah,ах
ahead,предстоящий
air,воздуха
all,все
allow,разрешать
almost,почти
alone,один
along,вместе
already,уже
alright,хорошо
also,также
although,несмотря на то что
always,всегда
am,являюсь
amaze,удивлять
an,атмосфера
and,а также
anger,злость
angry,злой
animal,животное
annoy,раздражать
another,еще один
answer,отвечать
any,Любые
anymore,больше
anyone,кто угодно
anything,что-либо
anyway,тем не мение
apartment,квартира
apparently,по всей видимости
appear,появляться
approach,подход
are,находятся
area,область
aren't,не
arm,рука
around,около
arrive,прибыть
as,в качестве
ask,спросить
asleep,спящий
ass,жопа
at,в
attack,атака
attempt,пытаться
attention,внимание
aunt,тетя
avoid,избегать
away,прочь
baby,малыш
back,назад
bad,Плохо
bag,сумка
ball,мяч
band,группа
bar,бар
barely,едва
bathroom,ванная комната
be,быть
beat,бить
beautiful,красивая
became,стал
because,потому что
become,стали
bed,кровать
bedroom,Спальня
been,был
before,до
began,началось
begin,начинать
behind,позади
believe,полагать
bell,колокол
beside,рядом
besides,Помимо
best,Лучший
better,лучше
between,между
big,большой
bit,кусочек
bite,кусать
black,черный
blink,мигание
block,блокировать
blonde,блондинка
blood,кровь
blue,синий
blush,краснеть
body,тело
book,книга
bore,заседание
both,оба
bother,беспокоить
bottle,бутылка
bottom,нижний
box,коробка
boy,мальчик
boyfriend,парень
brain,мозг
break,ломать
breakfast,завтрак
breath,дыхание
breathe,дышать
bright,яркий
bring,приносить
broke,сломанный
broken,сломанный
brother,брат
brought,привел
brown,коричневый
brush,щетка
build,строить
burn,гореть
burst,лопаться
bus,автобус
business,бизнес
busy,занятый
but,но
buy,купить
by,по
call,вызов
calm,спокойствие
came,пришел
can,Можно
can't,не мочь
car,автомобиль
card,открытка
care,забота
carefully,осторожно
carry,нести
case,кейс
cat,кошка
catch,ловить
caught,пойманный
cause,причина
cell,клетка
chair,стул
chance,шанс
change,сдача
chase,гнаться
check,Проверьте
cheek,щека
chest,грудь
child,ребенок
children,дети
chuckle,смехотворное
city,город
class,учебный класс
clean,чистый
clear,Чисто
climb,взбираться
close,Закрыть
clothes,одежда
coffee,кофе
cold,холодно
college,колледж
color,цвет
come,прийти
comment,комментарий
complete,полный
completely,полностью
computer,компьютерный
concern,беспокойство
confuse,запутать
consider,рассмотреть возможность
continue,Продолжать
control,контроль
conversation,беседа
cool,Круто
corner,угол
couch,диван
could,мог
couldn't,не мог
counter,прилавок
couple,пара
course,курс
cover,покрытие
crack,трескаться
crazy,псих
cross,Пересекать
crowd,толпа
cry,плакать
cup,чашка
cut,резать
cute,милый
dad,папа
damn,проклятие
dance,танец
dark,темный
date,свидание
daughter,дочь
day,день
dead,мертвых
deal,иметь дело
dear,Уважаемые
death,смерть
decide,решать
deep,глубокий
definitely,определенно
desk,стол письменный
did,делал
didn't,не
die,умереть
different,другой
dinner,обед
direction,направление
disappear,пропадать
do,делать
doctor,доктор
does,делает
doesn't,не
dog,собака
don't,не
done,Выполнено
door,дверь
doubt,сомневаться
down,вниз
drag,тяга
draw,рисовать
dream,мечтать
dress,платье
drink,напиток
drive,водить машину
drop,уронить
drove,проехать
dry,сухой
during,в течение
each,каждый
ear,ухо
early,рано
easily,без труда
easy,легкий
eat,есть
edge,край
either,либо
else,еще
empty,пустой
end,конец
enjoy,наслаждаться
enough,достаточно
enter,войти
entire,весь
escape,побег
especially,особенно
even,даже
evening,вечер
eventually,в итоге
ever,Когда-либо
every,каждый
everyone,каждый
everything,все
exactly,в яблочко
except,кроме
excite,волновать
exclaim,воскликнуть
excuse,извинение
expect,ожидать
explain,объяснять
expression,выражение
eye,глаз
eyebrow,бровь
face,лицо
fact,факт
fall,падение
family,семья
far,далеко
fast,быстро
father,отец
fault,вина
favorite,любимый
fear,страх
feel,Чувствовать
feet,ноги
fell,упал
felt,чувствовала
few,несколько
field,поле
fight,Борьба
figure,фигура
fill,наполнять
finally,в конце концов
find,найти
fine,отлично
finger,Палец
finish,финиш
fire,Огонь
first,первый
fit,поместиться
five,пять
fix,исправить
flash,вспышка
flip,кувырок
floor,пол
fly,летать
focus,фокус
follow,следить
food,еда
foot,ступня
for,за
force,сила
forget,забывать
form,форма
forward,вперед
found,найденный
four,четыре
free,свободно
friend,друг
from,из
front,фронт
frown,хмуриться
fuck,Блядь
full,полный
fun,весело
funny,смешной
further,дальше
game,игра
gasp,задыхаться
gave,дал
gaze,посмотреть
gently,нежно
get,получить
giggle,хихикать
girl,девочка
girlfriend,любимая девушка
give,дайте
given,данный
glad,радостный
glance,взглянуть мельком
glare,блики
glass,стакан
go,идти
God,Бог
gone,прошло
gonna,собираюсь
good,хороший
got,есть
gotten,получил
grab,схватить
great,большой
green,зеленый
greet,приветствовать
grey,серый
grin,ухмылка
grip,схватить
groan,стон
ground,земля
group,группа
grow,расти
guard,сторожить
guess,предполагать
gun,пистолет
guy,парень
had,было
hadn't,не было
hair,волосы
half,половина
hall,зал
hallway,коридор
hand,рука
handle,справиться
hang,вешать
happen,случаться
happy,счастливый
hard,жесткий
has,имеет
hate,ненавидеть
have,имеют
haven't,не
he,он
he'd,Он будет
he's,Он
head,глава
hear,слышать
heard,слышал
heart,сердце
heavy,тяжелый
held,проводится
hell,ад
hello,привет
help,помощь
her,ей
here,здесь
herself,саму себя
hey,Привет
hi,Здравствуй
hide,Спрятать
high,высокая
him,его
himself,сам
his,его
hit,хит
hold,держать
home,дом
hope,надеяться
horse,лошадь
hospital,больница
hot,горячий
hour,час
house,дом
how,как
however,Однако
hug,обнимать
huge,огромный
huh,хм
human,человек
hundred,сотня
hung,повесили
hurry,торопиться
hurt,повредить
I,я
I'd,Идентификатор
I'll,Больной
I'm,Я
I've,Я
ice,лед
idea,идея
if,если
ignore,игнорировать
imagine,представить
immediately,немедленно
important,важный
in,в
inside,внутри
instead,вместо
interest,интерес
interrupt,прерывать
into,в
is,является
isn't,не
it,Это
it's,это
its,это
jacket,пиджак
jeans,джинсы
jerk,придурок
job,работа
join,присоединиться
joke,шутить
jump,Прыжок
just,просто
keep,хранить
kept,сохраняется
key,ключ
kick,пинать
kid,ребенок
kill,убийство
kind,Добрый
kiss,целовать
kitchen,кухня
knee,колено
knew,знал
knock,поступить
know,знать
known,известен
lady,леди
land,земельные участки
large,большой
last,последний
late,поздно
laugh,смех
lay,класть
lead,привести
lean,худой
learn,учиться
least,наименее
leave,оставлять
led,вел
left,оставил
leg,нога
less,меньше
let,позволять
letter,письмо
lie,ложь
life,жизнь
lift,поднимать
light,легкий
like,как
line,линия
lip,губа
listen,Слушать
little,маленький
live,жить
lock,замок
locker,шкафчик
long,длинная
look,Смотреть
lose,терять
lost,потерял
lot,много
loud,громкий
love,любовь
low,низкий
lunch,обед
mad,без ума
made,сделанный
make,делать
man,человек
manage,управлять
many,много
mark,отметка
marry,жениться
match,соответствие
matter,иметь значение
may,май
maybe,может быть
me,мне
mean,иметь в виду
meant,имел ввиду
meet,встретиться
memory,Память
men,люди
mention,упомянуть
met,встретились
middle,середина
might,мощь
mind,разум
mine,мой
minute,минута
mirror,зеркало
miss,скучать
mom,Мама
moment,мгновенный
money,Деньги
month,месяц
mood,настроение
more,более
morning,утро
most,самый
mother,мать
mouth,рот
move,шаг
movie,кино
Mr.,Г-н.
Mrs.,Миссис.
much,много
mum,мама
mumble,бормотать
music,Музыка
must,должен
mutter,бормотать
my,мой
myself,сам
name,имя
near,около
nearly,Около
neck,шея
need,необходимость
nervous,нервный
never,никогда
new,новый
next,следующий
nice,отлично
night,ночь
no,нет
nod,кивок
noise,шум
none,никто
normal,обычный
nose,нос
not,нет
note,примечание
nothing,ничего такого
notice,уведомление
now,в настоящее время
number,количество
obviously,очевидно
of,из
off,выключенный
offer,предложение
office,офис
often,довольно часто
oh,ой
okay,хорошо
old,старый
on,на
once,однажды
one,один
only,Только
onto,на
open,открытым
or,или же
order,заказ
other,Другой
our,наш
out,вне
outside,вне
over,над
own,собственный
pack,пакет
pain,боль
paint,краска
pair,пара
pants,брюки
paper,бумага
parents,родители
park,парк
part,часть
party,партия
pass,проходить
past,мимо
pause,Пауза
pay,платить
people,люди
perfect,идеально
perhaps,возможно
person,человек
phone,Телефон
pick,выбирать
picture,картина
piece,кусок
pink,розовый
piss,мочи
place,место
plan,план
play,играть в
please,пожалуйста
pocket,карман
point,точка
police,полиция
pop,поп
position,должность
possible,возможный
power,сила
practically,практически
present,подарок
press,Нажмите
pretend,притворяться
pretty,Симпатичная
probably,вероятно
problem,проблема
promise,обещать
pull,тянуть
punch,ударить кулаком
push,толкать
put,помещать
question,вопрос
quick,быстрый
quickly,быстро
quiet,тихо
quietly,тихо
quite,довольно
race,гонка
rain,дождь
raise,поднимать
ran,пробег
rang,прозвенел
rather,скорее
reach,достигать
read,читать
ready,готовы
real,настоящий
realize,понимать
really,В самом деле
reason,причина
recognize,распознавать
red,красный
relationship,отношение
relax,расслабляться
remain,оставаться
remember,запомнить
remind,напоминать
repeat,повторение
reply,Ответить
respond,реагировать
rest,отдыхать
return,возвращаться
ride,поездка
right,Правильно
ring,звенеть
road,Дорога
rock,рок
roll,рулон
room,номер
rose,Роза
round,круглый
rub,натирать
run,бежать
rush,порыв
sad,грустный
safe,Безопасно
said,сказал
same,такой же
sat,сидел
save,спасти
saw,пила
say,сказать
scare,напугать
school,школа
scream,крик
search,поиск
seat,сиденье
second,второй
see,видеть
seem,казаться
seen,видимый
self,себя
send,Отправить
sense,смысл
sent,послал
serious,серьезный
seriously,серьезно
set,установлен
settle,решить
seven,Семь
several,несколько
shadow,тень
shake,встряхнуть
share,Поделиться
she,она
she'd,пролить
she's,она
shift,сдвиг
shirt,Рубашка
shit,дерьмо
shock,шок
shoe,обувь
shook,встряхнуть
shop,магазин
short,короткая
shot,выстрелил
should,должен
shoulder,плечо
shouldn't,не должен
shout,кричать
shove,засунуть
show,показывать
shower,душ
shrug,пожимает плечами
shut,закрыть
sick,больной
side,сторона
sigh,вздох
sight,зрение
sign,знак
silence,тишина
silent,тихий
simply,просто
since,поскольку
single,не замужем
sir,сэр
sister,сестра
sit,сидеть
situation,ситуация
six,шесть
skin,кожа
sky,небо
slam,шлем
sleep,спать
slightly,немного
slip,соскальзывать
slow,медленный
slowly,медленно
small,маленький
smell,запах
smile,улыбка
smirk,ухмыляться
smoke,дымка
snap,щелчок
so,так
soft,мягкий
softly,мягко
some,немного
somehow,как-то
someone,кто то
something,что-нибудь
sometimes,иногда
somewhere,где-то
son,сын
song,песня
soon,скоро
sorry,Извините
sort,Сортировать
sound,звук
space,пространство
speak,говорить
spend,проводить
spent,потраченный
spoke,говорил
spot,место
stair,лестница
stand,стоять
star,звезда
stare,глазеть
start,Начало
state,государство
stay,остаться
step,шаг
stick,палка
still,Все еще
stomach,желудок
stood,стоял
stop,остановка
store,хранить
story,история
straight,прямой
strange,странный
street,улица
strong,сильный
struggle,борьба
stuck,застрявший
student,ученик
study,исследование
stuff,вещи
stupid,глупый
such,такой
suck,сосать
sudden,внезапный
suddenly,"вдруг, внезапно"
suggest,предложить
summer,лето
sun,солнце
suppose,предполагать
sure,Конечно
surprise,Сюрприз
surround,окружение
sweet,сладкий
table,стол
take,брать
taken,взятый
talk,разговаривать
tall,высокий
teacher,учитель
team,команда
tear,рвать
teeth,зубы
tell,сказать
ten,10
than,чем
thank,благодарить
that,что
that's,это
the,а
their,их
them,их
themselves,сами себя
then,тогда
there,там
there's,есть
these,эти
they,Oни
they'd,они будут
they're,они
thick,толстый
thing,вещь
think,считать
third,в третьих
this,это
those,те
though,хотя
thought,мысль
three,три
threw,выбросить
throat,горло
through,через
throw,бросать
tie,галстук
tight,тугой
time,время
tiny,крошечный
tire,шина
to,к
today,Cегодня
together,вместе
told,сказал
tomorrow,завтра
tone,тон
tongue,язык
tonight,сегодня ночью
too,слишком
took,взял
top,Топ
totally,полностью
touch,трогать
toward,к
town,городок
track,отслеживать
trail,тащить
train,тренироваться
tree,дерево
trip,путешествие
trouble,беда
TRUE,ПРАВДА
trust,доверять
truth,правда
try,пытаться
turn,повернуть
TV,Телевизор
twenty,20
two,два
type,тип
uncle,дядя
under,под
understand,понять
until,до того как
up,вверх
upon,на
us,нас
use,использовать
usual,обычный
usually,обычно
very,очень
visit,посещать
voice,голос
wait,ждать
wake,будить
walk,ходить
wall,стена
want,хочу
warm,тепло
warn,предупреждать
was,был
wasn't,не было
watch,смотреть
water,вода
wave,волна
way,путь
we,мы
we'll,Что ж
we're,были
we've,Мы
wear,носить
week,неделя
weird,странный
well,Что ж
went,шел
were,мы
weren't,не было
wet,мокрый
what,какие
what's,Что
whatever,что бы ни
when,когда
where,куда
whether,будь то
which,который
while,пока
whisper,шепот
white,белый
who,кто
whole,весь
why,Почему
wide,широкий
wife,жена
will,будут
wind,ветер
window,окно
wipe,вытирать
wish,желание
with,с
within,в пределах
without,без
woke,проснулся
woman,женщина
women,женщины
won't,не будет
wonder,удивляться
wood,древесина
word,слово
wore,носил
work,Работа
world,Мир
worry,волноваться
worse,худший
would,бы
wouldn't,не будет
wow,Вот это да
wrap,сворачивать
write,записывать
wrong,неправильный
yeah,Да
year,год
yell,кричать
yes,да
yet,пока что
you,ты
you'd,ты бы
you'll,ты будешь
you're,Вы
you've,Вы
young,молодой
your,ваш
yourself,самим собой